Date,Open_Total,Close_Total,Volume_Total,Changes_abs_Total,Changes_Total,adv,red,stock_num
2020-09-22,6162061.0,5943887.0,126360361.0,,,11,133,145
2020-09-23,5991079.0,5890086.0,172957459.0,,,56,85,146
2020-09-24,5773139.0,5599825.0,243669660.0,8.189563954286522,-6.401153492661111,12,131,146
2020-09-25,5642024.0,5584041.0,195096553.0,3.4917657423315807,0.35226376898998546,73,61,146
2020-09-28,5653652.0,5677452.0,245001883.0,4.906652292899428,4.032369773295045,119,23,146
2020-09-29,5758543.0,5735958.0,389689838.0,3.3021646072653246,2.2717800057777895,106,29,146
2020-10-05,5795595.0,5763248.0,186739387.0,3.2038811255496107,1.7432183723160186,98,37,146
2020-10-06,5785841.0,5826908.0,146930656.0,2.548063045068092,0.895226764833141,78,53,146
2020-10-07,5798710.0,5866339.0,133406598.0,2.5601771668694058,1.317928729178387,91,47,146
2020-10-08,5926277.0,5877818.0,310172499.0,2.6957350790752725,0.9014388043092499,61,67,146
2020-10-12,5930373.0,5873028.0,159330856.0,3.4786286432693045,0.18069843750765613,59,78,146
2020-10-13,5885867.0,5795415.0,142027981.0,3.2278703271620994,-1.642200499475731,32,109,146
2020-10-14,5802389.0,5724322.0,188196207.0,3.5896310615419154,-1.3961020984046946,39,100,146
2020-10-15,5732269.0,5619503.0,175104912.0,5.117081985943611,-2.1504903529213077,27,113,146
2020-10-16,5616086.0,5541146.0,110425333.0,4.340715545156219,-2.9902601889575506,23,118,146
2020-10-19,5557616.0,5536404.0,100367903.0,4.000039792196944,-0.614072667162741,51,85,146
2020-10-20,5481504.0,5523774.0,122352737.0,3.45998112058095,-0.844269383968639,44,92,146
2020-10-21,5550460.0,5555345.0,100538386.0,3.4530723563498325,1.781974999015115,95,39,146
2020-10-22,5546093.0,5464592.0,96252787.0,4.324847873856623,-2.580929007794785,29,114,146
2020-10-23,5502388.0,5535113.0,91175816.0,3.125001861661989,0.8435990571022335,74,61,146
2020-10-26,5580686.0,5377449.0,96175354.0,6.426536490678544,-5.015277187824735,19,122,146
2020-10-27,5327820.0,5314295.0,98239367.0,2.6570274175552013,-0.6015868603327194,57,79,146
2020-10-28,5306741.0,5443714.0,72668390.0,4.454402796864029,4.016907261357108,131,10,146
2020-10-29,5337741.0,5557035.0,78496085.0,2.5418793758076212,0.9493519753251746,77,59,146
2020-10-30,5572895.0,5433730.0,92659594.0,4.668486554378317,-3.242448692521437,20,126,146
2020-11-02,5471145.0,5468037.0,59211656.0,2.107879024989014,1.042517736811947,85,43,146
2020-11-03,5503559.0,5713100.0,80220010.0,4.297769948050918,4.06102090082717,133,10,146
2020-11-04,5770942.0,5840921.0,85512090.0,3.2008353233171523,1.5165471104212576,90,46,146
2020-11-05,5885587.0,5966203.0,73370683.0,3.7515179908116867,3.294356817538567,131,10,146
2020-11-06,6008961.0,5971662.0,96239515.0,3.1443624502782503,-0.510278993407587,39,99,146
2020-11-09,5991222.0,6000447.0,95594326.0,3.0882090370428457,2.371914388729525,116,21,146
2020-11-10,6073159.0,5941010.0,86744810.0,4.421909519289129,-1.265743975251108,40,99,146
2020-11-11,5922704.0,5902058.0,140475485.0,4.603772430825895,-0.21361693071103738,52,85,146
2020-11-12,5893933.0,5832965.0,170668182.0,3.3197214044147163,0.446120637469568,75,67,146
2020-11-13,5801634.0,5836994.0,125577908.0,3.173903638074183,-0.6488479031014796,57,82,146
2020-11-16,5876404.0,5852124.0,84707569.0,2.3240103767371116,0.644416120258495,65,68,146
2020-11-17,5853225.0,5884393.0,142989684.0,4.041388803962143,-0.8667167326374586,33,107,146
