,Name,Code
0,액션스퀘어,205500
1,더블유게임즈,192080
2,베스파,299910
3,스카이문스테크놀로지,033790
4,코원플레이,056000
5,네오위즈,095660
6,데브시스터즈,194480
7,엠게임,058630
8,액토즈소프트,052790
9,티쓰리,204610
10,엔씨소프트,036570
11,펄어비스,263750
12,골프존,215000
13,웹젠,069080
14,미투젠,950190
15,한빛소프트,047080
16,컴투스,078340
17,네오위즈홀딩스,042420
18,모비릭스,348030
19,밸로프,331520
20,넷마블,251270
21,플레이위드,023770
22,카카오게임즈,293490
23,크래프톤,259960
24,미스터블루,207760
25,넥슨게임즈,225570
26,넵튠,217270
27,미투온,201490
28,조이시티,067000
29,썸에이지,208640
30,컴투스홀딩스,063080
31,룽투코리아,060240
32,드래곤플라이,030350
33,위메이드,112040
34,위메이드맥스,101730
35,위메이드플레이,123420
