,Name,Code
0,본느,226340
1,내츄럴엔도텍,168330
2,원익,032940
3,휴엠앤씨,263920
4,아모레퍼시픽,090430
5,현대바이오,048410
6,바른손,018700
7,아모레G우,002795
8,디와이디,219550
9,아모레퍼시픽우,090435
10,씨앤씨인터내셔널,352480
11,현대퓨처넷,126560
12,리더스코스메틱,016100
13,잉글우드랩,950140
14,에이블씨엔씨,078520
15,코스온,069110
16,CSA 코스믹,083660
17,협진,138360
18,제이준코스메틱,025620
19,코스맥스,192820
20,엔에프씨,265740
21,아이패밀리에스씨,114840
22,컬러레이,900310
23,애경산업,018250
24,선진뷰티사이언스,086710
25,한국콜마홀딩스,024720
26,코디,080530
27,글로본,019660
28,토니모리,214420
29,클리오,237880
30,코리아나,027050
31,세화피앤씨,252500
32,스킨앤스킨,159910
33,브이티지엠피,018290
34,잇츠한불,226320
35,올리패스,244460
36,오가닉티코스메틱,900300
37,아모레G3우(전환),00279K
38,메디앙스,014100
39,한국화장품,123690
40,한국콜마,161890
41,라파스,214260
42,아모레G,002790
43,한국화장품제조,003350
44,LG생활건강,051900
45,씨티케이,260930
46,현대바이오랜드,052260
47,코스나인,082660
48,코스메카코리아,241710
49,제닉,123330
50,에스디생명공학,217480
51,네오팜,092730
52,LG생활건강우,051905
53,아우딘퓨쳐스,227610
