,Sector,Today_Date,Similar_Dates
0,가스유틸리티,2022-06-24~2022-08-12,"['2022-03-07~2022-04-25', '2022-02-16~2022-04-06', '2022-02-09~2022-03-30']"
1,건강관리업체및서비스,2022-06-24~2022-08-12,"['2022-03-14~2022-05-02', '2021-11-30~2022-01-18', '2021-10-22~2021-12-10', '2021-09-13~2021-11-01', '2021-07-29~2021-09-16', '2021-07-12~2021-08-30', '2021-07-07~2021-08-25', '2021-06-29~2021-08-17', '2021-06-24~2021-08-12', '2021-06-18~2021-08-06', '2021-05-31~2021-07-19', '2020-12-28~2021-02-15', '2018-09-03~2018-10-22', '2018-08-29~2018-10-17', '2018-08-22~2018-10-10', '2018-08-17~2018-10-05', '2018-04-24~2018-06-12', '2018-04-19~2018-06-07', '2018-03-26~2018-05-14', '2018-01-24~2018-03-14', '2016-09-30~2016-11-18', '2016-09-01~2016-10-20', '2016-08-26~2016-10-14', '2016-08-22~2016-10-10', '2016-08-15~2016-10-03', '2016-08-08~2016-09-26', '2016-08-02~2016-09-20', '2016-04-21~2016-06-09', '2015-09-24~2015-11-12', '2015-06-03~2015-07-22']"
2,건설,2022-06-24~2022-08-12,"['2021-03-23~2021-05-11', '2021-03-09~2021-04-27', '2021-03-03~2021-04-21', '2021-02-26~2021-04-16', '2021-02-23~2021-04-13', '2020-12-16~2021-02-03', '2020-12-09~2021-01-27', '2020-12-04~2021-01-22', '2015-05-26~2015-07-14', '2015-03-02~2015-04-20']"
3,건축자재,2022-06-24~2022-08-12,"['2022-03-14~2022-05-02', '2022-03-02~2022-04-20', '2022-02-09~2022-03-30', '2022-02-02~2022-03-23', '2021-12-22~2022-02-09', '2021-11-18~2022-01-06', '2021-10-19~2021-12-07', '2021-09-20~2021-11-08', '2021-07-07~2021-08-25', '2021-06-14~2021-08-02', '2021-06-08~2021-07-27', '2021-05-11~2021-06-29', '2021-03-12~2021-04-30', '2021-03-09~2021-04-27', '2021-03-03~2021-04-21', '2021-02-26~2021-04-16', '2021-02-23~2021-04-13', '2020-12-31~2021-02-18', '2020-12-28~2021-02-15', '2020-12-22~2021-02-09', '2020-12-16~2021-02-03', '2020-12-09~2021-01-27', '2020-12-01~2021-01-19', '2018-07-26~2018-09-13', '2018-07-19~2018-09-06', '2016-04-11~2016-05-30', '2015-06-17~2015-08-05', '2015-06-03~2015-07-22']"
4,게임엔터테인먼트,2022-06-24~2022-08-12,"['2022-03-17~2022-05-05', '2022-02-09~2022-03-30', '2021-12-22~2022-02-09', '2021-08-17~2021-10-05', '2021-08-11~2021-09-29', '2021-07-02~2021-08-20', '2021-06-18~2021-08-06', '2021-06-14~2021-08-02', '2021-06-08~2021-07-27', '2021-05-25~2021-07-13', '2021-05-11~2021-06-29', '2021-03-23~2021-05-11', '2021-03-09~2021-04-27', '2021-03-03~2021-04-21', '2020-12-31~2021-02-18', '2018-02-01~2018-03-22', '2018-01-24~2018-03-14', '2015-06-17~2015-08-05', '2015-06-08~2015-07-27', '2015-04-01~2015-05-20']"
5,무선통신서비스,2022-06-24~2022-08-12,"['2022-03-14~2022-05-02', '2022-02-16~2022-04-06', '2022-02-09~2022-03-30', '2021-11-30~2022-01-18', '2021-11-25~2022-01-13', '2021-11-15~2022-01-03', '2021-09-13~2021-11-01', '2021-07-07~2021-08-25', '2021-06-24~2021-08-12', '2021-06-18~2021-08-06', '2021-06-14~2021-08-02', '2021-06-08~2021-07-27', '2018-03-01~2018-04-19', '2018-02-01~2018-03-22', '2016-11-11~2016-12-30', '2016-11-03~2016-12-22', '2016-09-30~2016-11-18', '2016-08-26~2016-10-14', '2016-08-22~2016-10-10', '2016-04-14~2016-06-02']"
6,반도체와반도체장비,2022-06-24~2022-08-12,"['2022-03-14~2022-05-02', '2022-03-07~2022-04-25', '2022-03-02~2022-04-20', '2022-02-24~2022-04-14', '2022-02-16~2022-04-06', '2022-02-09~2022-03-30', '2021-06-14~2021-08-02', '2021-06-08~2021-07-27', '2021-05-31~2021-07-19', '2021-05-25~2021-07-13', '2021-05-11~2021-06-29', '2018-04-24~2018-06-12', '2018-04-19~2018-06-07', '2018-03-26~2018-05-14', '2017-10-05~2017-11-23', '2016-11-03~2016-12-22', '2016-05-30~2016-07-18', '2016-04-11~2016-05-30', '2016-02-08~2016-03-28', '2016-02-02~2016-03-22', '2015-11-17~2016-01-05', '2015-11-11~2015-12-30', '2015-11-05~2015-12-24', '2015-09-10~2015-10-29', '2015-05-26~2015-07-14', '2015-05-11~2015-06-29', '2015-03-02~2015-04-20']"
7,방송과엔터테인먼트,2022-06-24~2022-08-12,"['2022-03-02~2022-04-20', '2022-02-24~2022-04-14', '2022-02-09~2022-03-30', '2021-06-08~2021-07-27', '2021-05-11~2021-06-29', '2018-08-14~2018-10-02', '2018-08-09~2018-09-27', '2018-08-06~2018-09-24', '2018-08-01~2018-09-19', '2018-07-26~2018-09-13', '2017-10-05~2017-11-23', '2016-09-01~2016-10-20', '2016-08-26~2016-10-14', '2016-08-22~2016-10-10', '2016-08-02~2016-09-20', '2016-02-08~2016-03-28', '2016-02-02~2016-03-22', '2015-11-11~2015-12-30', '2015-09-07~2015-10-26', '2015-06-08~2015-07-27', '2015-04-01~2015-05-20']"
8,백화점과일반상점,2022-06-24~2022-08-12,"['2022-03-17~2022-05-05', '2022-02-09~2022-03-30', '2021-11-30~2022-01-18', '2021-11-25~2022-01-13', '2021-11-15~2022-01-03', '2021-06-14~2021-08-02', '2018-08-06~2018-09-24', '2017-10-05~2017-11-23', '2016-11-11~2016-12-30', '2016-11-03~2016-12-22', '2016-09-30~2016-11-18', '2016-09-01~2016-10-20', '2016-08-26~2016-10-14', '2016-08-22~2016-10-10', '2016-08-15~2016-10-03', '2016-08-08~2016-09-26', '2016-08-02~2016-09-20', '2016-05-30~2016-07-18', '2016-04-21~2016-06-09', '2016-04-14~2016-06-02', '2016-04-11~2016-05-30', '2016-02-08~2016-03-28', '2015-11-17~2016-01-05', '2015-11-11~2015-12-30', '2015-11-05~2015-12-24', '2015-10-27~2015-12-15', '2015-10-02~2015-11-20', '2015-09-24~2015-11-12', '2015-09-10~2015-10-29', '2015-09-07~2015-10-26', '2015-06-03~2015-07-22']"
9,복합기업,2022-06-24~2022-08-12,"['2021-12-22~2022-02-09', '2021-10-22~2021-12-10', '2021-10-19~2021-12-07', '2021-07-29~2021-09-16', '2021-07-12~2021-08-30', '2021-03-23~2021-05-11', '2018-08-14~2018-10-02', '2018-07-26~2018-09-13', '2018-03-26~2018-05-14', '2018-01-24~2018-03-14', '2016-05-30~2016-07-18', '2015-09-24~2015-11-12', '2015-06-17~2015-08-05', '2015-04-01~2015-05-20', '2015-03-02~2015-04-20']"
