Code,Sector,f_rank,s_date
005930,반도체와반도체장비,1,2015-09-10
003410,건축자재,13,2015-06-17
000100,제약,17,2017-10-05
000270,자동차,27,2018-03-26
180640,항공사,28,2016-05-30
009150,전자장비와기기,34,2016-09-30
071050,증권,36,2016-11-11
024110,은행,52,2021-01-06
017670,무선통신서비스,58,2016-04-14
006400,전기제품,61,2015-09-10
035720,양방향미디어와서비스,73,2018-09-10
018880,자동차부품,91,2015-09-07
003550,복합기업,95,2015-09-24
003670,화학,118,2015-03-02
086280,항공화물운송과물류,142,2018-08-09
036570,게임엔터테인먼트,148,2015-06-17
096770,석유와가스,148,2015-03-02
011200,해운사,150,2018-03-01
028050,건설,169,2021-02-26
000060,손해보험,170,2015-05-11
352820,방송과엔터테인먼트,218,2018-08-14
271560,식품,224,2016-09-30
383220,"섬유,의류,신발,호화품",227,2021-05-31
010620,조선,235,2016-05-30
051900,화장품,244,2015-06-03
032830,생명보험,273,2021-11-25
012450,우주항공과국방,301,2018-08-06
005490,철강,303,2021-11-18
015760,전기유틸리티,363,2021-02-26
035250,"호텔,레스토랑,레저",480,2018-02-01
036460,가스유틸리티,539,2022-03-07
