Code,Sector,f_rank,s_date
005930,반도체와반도체장비,1,2015-09-10
003410,건축자재,9,2015-06-17
000100,제약,12,2017-10-05
004800,복합기업,14,2018-07-26
000080,음료,23,2018-08-17
180640,항공사,27,2016-05-30
009150,전자장비와기기,32,2016-09-30
000270,자동차,32,2018-03-26
071050,증권,47,2016-11-11
138930,은행,53,2021-01-06
008770,"호텔,레스토랑,레저",59,2016-11-03
006400,전기제품,70,2015-09-10
017670,무선통신서비스,78,2016-04-14
035420,양방향미디어와서비스,82,2018-09-10
018880,자동차부품,89,2015-09-07
011780,화학,124,2015-03-02
081660,"섬유,의류,신발,호화품",157,2016-11-11
272210,우주항공과국방,172,2018-08-06
004370,식품,176,2015-03-02
086280,항공화물운송과물류,197,2018-08-09
004170,백화점과일반상점,203,2016-11-11
096770,석유와가스,211,2015-03-02
051600,전기유틸리티,224,2021-02-26
006360,건설,235,2015-05-26
036570,게임엔터테인먼트,249,2015-06-17
011200,해운사,267,2018-03-01
000060,손해보험,293,2015-05-11
006260,전기장비,299,2015-09-07
352820,방송과엔터테인먼트,345,2018-08-14
051900,화장품,380,2015-06-03
001230,철강,390,2021-02-26
010620,조선,393,2016-05-30
032830,생명보험,515,2021-11-25
017390,가스유틸리티,739,2022-03-07
