Code,Sector,f_rank,s_date
016710,가스유틸리티,1,2018-11-19
004800,복합기업,15,2015-01-19
000270,자동차,16,2018-11-19
139130,은행,19,2020-06-03
035900,방송과엔터테인먼트,20,2016-01-15
000080,음료,25,2018-12-10
307950,IT서비스,33,2020-06-16
003490,항공사,35,2020-04-16
004000,화학,40,2020-06-16
005935,반도체와반도체장비,44,2019-07-03
003090,제약,47,2020-03-26
086280,항공화물운송과물류,48,2020-04-07
026960,식품,49,2020-06-03
222800,전자장비와기기,52,2019-07-11
030200,다각화된통신서비스,58,2020-10-28
066570,전자제품,61,2020-04-24
011200,해운사,67,2020-03-26
014820,포장재,70,2020-07-07
035420,양방향미디어와서비스,79,2019-06-20
017670,무선통신서비스,81,2016-01-06
010620,조선,91,2015-12-25
278280,전기제품,95,2020-03-18
030000,광고,96,2020-03-26
006360,건설,108,2020-03-23
108320,디스플레이장비및부품,110,2016-09-19
204320,자동차부품,116,2020-06-16
004020,철강,127,2020-06-11
272210,우주항공과국방,128,2020-06-03
241560,기계,132,2020-03-18
071050,증권,132,2016-05-13
048260,건강관리장비와용품,163,2020-06-03
005830,손해보험,163,2021-01-13
298020,"섬유,의류,신발,호화품",165,2020-03-23
112610,에너지장비및서비스,178,2016-01-20
096770,석유와가스,197,2020-03-23
069960,백화점과일반상점,198,2020-06-16
196170,생물공학,203,2016-05-13
052690,전기유틸리티,229,2020-10-28
006260,전기장비,238,2020-03-23
096530,생명과학도구및서비스,250,2018-11-14
112040,게임엔터테인먼트,274,2021-01-13
010130,비철금속,317,2020-06-16
035250,"호텔,레스토랑,레저",319,2020-10-28
034220,디스플레이패널,372,2020-03-23
088350,생명보험,390,2020-11-16
089860,도로와철도운송,416,2022-01-25
021240,가정용기기와용품,495,2021-02-08
009240,가구,549,2019-07-11
029780,카드,582,2022-01-05
033780,담배,633,2020-03-23
002790,화장품,832,2022-01-05
012750,상업서비스와공급품,937,2021-12-29
047050,무역회사와판매업체,1315,2022-05-06
