,Name,Code,Sector
0,삼성전자,005930,반도체와반도체장비
1,LG에너지솔루션,373220,전기제품
2,SK하이닉스,000660,반도체와반도체장비
3,삼성바이오로직스,207940,제약
4,삼성전자우,005935,반도체와반도체장비
5,LG화학,051910,화학
6,NAVER,035420,양방향미디어와서비스
7,현대차,005380,자동차
8,삼성SDI,006400,전기제품
9,카카오,035720,양방향미디어와서비스
10,기아,000270,자동차
11,셀트리온,068270,제약
12,삼성물산,028260,복합기업
13,현대모비스,012330,자동차부품
14,POSCO홀딩스,005490,철강
15,KB금융,105560,은행
16,신한지주,055550,은행
17,SK이노베이션,096770,석유와가스
18,SK,034730,복합기업
19,LG전자,066570,전자제품
20,카카오뱅크,323410,은행
21,한국전력,015760,전기유틸리티
22,LG,003550,복합기업
23,에코프로비엠,247540,전기제품
24,HMM,011200,해운사
25,LG생활건강,051900,화장품
26,두산에너빌리티,034020,기계
27,삼성생명,032830,생명보험
28,현대중공업,329180,조선
29,크래프톤,259960,게임엔터테인먼트
30,SK텔레콤,017670,무선통신서비스
31,셀트리온헬스케어,091990,제약
32,KT&G,033780,담배
33,하나금융지주,086790,은행
34,삼성전기,009150,전자장비와기기
35,포스코케미칼,003670,화학
36,S-Oil,010950,석유와가스
37,삼성에스디에스,018260,IT서비스
38,KT,030200,다각화된통신서비스
39,SK바이오사이언스,302440,제약
40,삼성화재,000810,손해보험
41,대한항공,003490,항공사
42,고려아연,010130,비철금속
43,우리금융지주,316140,은행
44,엘앤에프,066970,전기제품
45,LG이노텍,011070,전자장비와기기
46,한화솔루션,009830,화학
47,엔씨소프트,036570,게임엔터테인먼트
48,카카오페이,377300,IT서비스
49,아모레퍼시픽,090430,화장품
50,하이브,352820,방송과엔터테인먼트
51,기업은행,024110,은행
52,현대글로비스,086280,항공화물운송과물류
53,롯데케미칼,011170,화학
54,SK바이오팜,326030,제약
55,한국조선해양,009540,조선
56,F&F,383220,"섬유,의류,신발,호화품"
57,SK스퀘어,402340,반도체와반도체장비
58,넷마블,251270,게임엔터테인먼트
59,SK아이이테크놀로지,361610,전기제품
60,CJ제일제당,097950,식품
61,한국항공우주,047810,우주항공과국방
62,한온시스템,018880,자동차부품
63,강원랜드,035250,"호텔,레스토랑,레저"
64,LG유플러스,032640,무선통신서비스
65,LG디스플레이,034220,디스플레이패널
66,맥쿼리인프라,088980,기타
67,SKC,011790,화학
68,삼성중공업,010140,조선
69,현대건설,000720,건설
70,코웨이,021240,가정용기기와용품
71,HD현대,267250,석유와가스
72,현대제철,004020,철강
73,HLB,028300,제약
74,한국타이어앤테크놀로지,161390,자동차부품
75,DB손해보험,005830,손해보험
76,유한양행,000100,제약
77,에스디바이오센서,137310,건강관리장비와용품
78,한진칼,180640,항공사
79,미래에셋증권,006800,증권
80,메리츠화재,000060,손해보험
81,카카오게임즈,293490,게임엔터테인먼트
82,금호석유,011780,화학
83,롯데지주,004990,식품
84,삼성엔지니어링,028050,건설
85,오리온,271560,식품
86,GS,078930,석유와가스
87,한미약품,128940,제약
88,현대미포조선,010620,조선
89,삼성카드,029780,카드
90,한국금융지주,071050,증권
