,Sector,Today_Date,Similar_Dates
0,가스유틸리티,2022-05-17~2022-06-14,[]
1,건강관리장비와용품,2022-05-17~2022-06-14,"['2018-09-25~2018-10-23', '2018-09-18~2018-10-16', '2018-09-11~2018-10-09', '2018-09-04~2018-10-02', '2018-01-23~2018-02-20', '2018-01-16~2018-02-13', '2018-01-09~2018-02-06', '2018-01-02~2018-01-30']"
2,건설,2022-05-17~2022-06-14,[]
3,건축자재,2022-05-17~2022-06-14,"['2019-10-08~2019-11-05', '2018-09-04~2018-10-02', '2018-01-23~2018-02-20', '2018-01-02~2018-01-30', '2017-12-26~2018-01-23', '2017-12-19~2018-01-16']"
4,게임엔터테인먼트,2022-05-17~2022-06-14,"['2019-10-29~2019-11-26', '2019-10-22~2019-11-19', '2019-10-15~2019-11-12', '2019-09-17~2019-10-15', '2019-09-03~2019-10-01', '2018-09-25~2018-10-23', '2018-09-18~2018-10-16', '2018-09-11~2018-10-09', '2018-09-04~2018-10-02', '2018-01-23~2018-02-20', '2018-01-16~2018-02-13', '2018-01-09~2018-02-06']"
5,기계,2022-05-17~2022-06-14,"['2020-01-28~2020-02-25', '2018-01-23~2018-02-20', '2018-01-02~2018-01-30', '2017-12-19~2018-01-16']"
6,무선통신서비스,2022-05-17~2022-06-14,"['2020-01-21~2020-02-18', '2020-01-14~2020-02-11', '2019-10-29~2019-11-26', '2019-10-22~2019-11-19', '2019-10-15~2019-11-12', '2019-10-08~2019-11-05', '2019-09-17~2019-10-15', '2019-09-03~2019-10-01', '2018-09-25~2018-10-23', '2018-09-04~2018-10-02', '2018-01-23~2018-02-20', '2018-01-16~2018-02-13', '2018-01-02~2018-01-30']"
7,반도체와반도체장비,2022-05-17~2022-06-14,"['2020-01-14~2020-02-11', '2019-10-29~2019-11-26', '2019-10-22~2019-11-19', '2019-10-15~2019-11-12', '2019-10-08~2019-11-05', '2019-09-17~2019-10-15', '2019-09-03~2019-10-01', '2018-09-11~2018-10-09', '2018-09-04~2018-10-02', '2018-01-23~2018-02-20', '2018-01-09~2018-02-06', '2017-12-26~2018-01-23', '2017-12-19~2018-01-16']"
8,방송과엔터테인먼트,2022-05-17~2022-06-14,"['2019-10-15~2019-11-12', '2018-09-25~2018-10-23', '2018-09-11~2018-10-09', '2018-09-04~2018-10-02']"
9,백화점과일반상점,2022-05-17~2022-06-14,"['2020-01-28~2020-02-25', '2020-01-21~2020-02-18', '2020-01-14~2020-02-11', '2019-10-29~2019-11-26', '2019-10-22~2019-11-19', '2019-10-15~2019-11-12', '2019-09-17~2019-10-15', '2019-09-03~2019-10-01', '2018-09-25~2018-10-23', '2018-09-18~2018-10-16', '2018-09-11~2018-10-09', '2018-09-04~2018-10-02', '2018-01-23~2018-02-20', '2018-01-16~2018-02-13']"
10,복합기업,2022-05-17~2022-06-14,"['2020-01-28~2020-02-25', '2020-01-14~2020-02-11', '2018-09-25~2018-10-23', '2018-09-18~2018-10-16', '2018-09-11~2018-10-09', '2018-09-04~2018-10-02', '2018-01-23~2018-02-20', '2018-01-16~2018-02-13', '2018-01-09~2018-02-06', '2018-01-02~2018-01-30', '2017-12-19~2018-01-16']"
11,생명보험,2022-05-17~2022-06-14,[]
